Name,Age,Gender,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level
Steven Chavez,14,Male,9th,4.3,5.9,75,4,2.5,5,1,8,1,2.2,105,17,1.9,1.4,1.4,Other,1,3.1,10.0
Cody Young,17,Male,11th,3.9,8.4,97,3,0.5,1,7,8,0,1.2,66,13,4.3,1.6,1.0,Education,6,4.9,9.5
Victoria Clark,13,Other,9th,9.0,7.3,79,6,1.1,1,1,7,1,0.8,127,17,3.1,1.5,0.0,Education,1,6.9,10.0
Peggy Bond,15,Other,8th,4.5,7.8,93,5,1.0,7,7,2,1,1.3,83,17,2.6,1.2,2.4,Education,8,6.0,9.5
Candace Anderson,14,Other,11th,4.4,4.1,56,9,1.7,7,7,1,1,0.8,129,16,4.9,1.4,0.6,Other,10,6.1,10.0
Tammy Payne,19,Other,12th,5.9,8.5,87,2,0.0,4,10,9,0,1.5,48,6,3.0,1.5,0.7,Social Media,2,6.5,8.3
Mrs. Lauren Ayala,17,Other,10th,3.3,6.1,78,2,3.6,2,9,9,1,1.2,141,17,1.9,1.0,0.2,Education,8,5.1,9.4
Edward Jackson,15,Female,12th,2.9,5.5,71,1,1.1,9,2,1,1,0.9,117,10,2.0,1.6,1.3,Gaming,7,4.6,8.1
Kathleen Hoffman,17,Male,11th,3.4,4.7,79,10,0.9,8,4,5,0,0.6,123,6,3.0,1.7,0.7,Other,5,7.6,9.4
Kelly Carrillo,17,Female,7th,6.3,7.4,77,8,1.6,4,4,10,0,1.4,110,8,3.7,1.5,1.9,Gaming,1,3.1,10.0
Derek York,19,Male,10th,3.7,7.9,89,9,0.7,8,7,7,0,0.3,92,7,0.9,2.1,0.9,Education,7,2.0,6.0
Ashley Velasquez,18,Male,7th,4.7,6.9,77,7,0.9,6,10,1,0,1.0,105,12,0.7,1.3,0.0,Education,8,8.3,7.8
Sara Williams,17,Other,8th,6.7,7.9,54,8,1.3,7,10,7,0,0.2,84,9,2.2,1.3,1.4,Education,9,7.9,9.7
Linda Fletcher,18,Female,12th,5.3,7.7,63,1,2.2,10,6,4,1,0.7,135,6,1.7,2.4,1.6,Other,9,5.7,9.4
Jaclyn Salazar,17,Male,12th,8.7,5.2,87,5,0.0,4,8,2,1,1.2,146,10,4.0,0.6,0.4,Gaming,6,5.9,10.0
Stephanie Fletcher,17,Other,9th,3.9,8.0,80,3,1.5,4,5,10,0,0.3,41,11,2.6,0.0,1.1,Social Media,2,5.7,5.5
Zachary Parks,16,Female,10th,7.4,6.6,100,3,1.1,2,3,5,1,1.3,90,19,2.1,0.8,0.6,Other,9,9.3,10.0
Chelsey Dillon,18,Female,11th,6.8,10.0,98,7,1.7,7,8,3,1,1.7,72,16,2.4,1.0,2.0,Social Media,10,7.6,9.8
Elijah Lewis,18,Female,8th,7.0,8.0,70,5,1.9,8,5,7,1,0.7,133,9,1.6,0.6,0.4,Gaming,5,1.8,9.7
Joseph Franklin,16,Male,8th,5.8,7.2,88,5,1.0,9,9,2,0,0.7,30,15,2.6,0.7,0.5,Browsing,10,9.7,9.1
Christine Hansen,17,Other,12th,4.1,5.5,67,2,0.2,1,7,4,1,0.5,120,16,4.3,2.1,2.0,Browsing,8,11.0,10.0
Kristen Holmes,19,Other,12th,4.9,4.4,86,5,1.8,7,6,7,1,0.9,90,15,2.5,1.2,0.5,Other,2,4.2,10.0
Michelle Ellis,18,Male,12th,4.4,6.6,95,3,1.1,8,1,3,1,0.6,91,15,2.2,1.6,0.8,Education,1,3.9,9.7
Dr. David Howard,19,Male,8th,6.3,3.0,58,8,1.1,5,2,8,0,0.6,48,6,3.9,1.1,0.1,Other,6,8.5,10.0
Michael Tucker,15,Male,9th,5.8,6.9,84,8,2.3,3,9,3,1,0.5,106,7,3.1,1.2,1.5,Social Media,6,5.5,10.0
Brenda Lee,13,Female,8th,6.5,7.2,58,10,0.3,9,6,5,0,1.1,74,6,2.6,2.0,1.1,Gaming,9,8.7,10.0
Jennifer Levine,17,Female,9th,5.8,7.0,76,8,1.7,5,5,5,1,1.7,116,19,3.0,2.2,2.2,Education,9,3.3,10.0
Joshua Moore,19,Other,7th,5.1,7.0,64,4,1.5,10,6,7,0,1.7,140,5,0.5,1.7,0.9,Gaming,2,7.7,7.6
Marcus Gibson,13,Other,8th,5.2,6.0,87,0,0.8,1,5,8,1,1.6,79,11,4.2,0.0,1.2,Gaming,6,3.7,10.0
Mackenzie Wright,13,Male,11th,4.8,8.6,78,8,0.0,3,3,10,1,1.0,51,9,3.0,2.4,1.6,Social Media,7,7.1,8.7
Christopher Smith,19,Male,11th,4.3,4.3,91,6,0.0,9,8,5,0,0.9,98,7,2.2,0.6,0.3,Social Media,8,5.2,8.3
Andrew Kim,19,Female,7th,7.6,6.4,88,4,0.0,6,4,8,0,1.8,77,15,4.6,0.0,0.0,Gaming,7,7.1,10.0
Rebecca Reynolds,17,Female,7th,5.5,6.9,65,3,0.4,6,9,9,1,0.4,82,6,1.6,1.1,0.2,Browsing,4,6.2,7.6
Catherine Bradshaw,15,Other,10th,4.8,6.3,76,8,1.6,2,6,7,1,1.1,136,11,4.8,1.3,1.2,Social Media,8,5.3,10.0
Tammy Carter,19,Other,9th,7.4,6.3,75,6,1.5,9,7,2,1,0.3,85,9,2.9,2.9,0.0,Social Media,1,7.6,10.0
Maria Ochoa,16,Male,12th,3.8,5.1,85,1,0.0,8,7,8,0,0.6,104,10,1.8,0.5,1.3,Social Media,9,9.3,7.6
James Herrera,13,Other,10th,7.3,5.6,84,1,0.2,4,1,8,0,1.2,22,11,2.2,2.0,0.9,Other,1,4.1,10.0
Brian Coleman,19,Female,8th,0.7,4.6,64,6,1.3,10,1,9,0,0.4,146,10,2.2,0.2,1.3,Other,3,5.3,5.7
Gregory Martinez,14,Male,11th,3.0,6.6,82,0,0.8,1,3,3,0,0.6,84,6,3.7,2.3,1.0,Other,9,6.7,8.6
Richard Nichols,19,Other,12th,4.0,7.4,83,3,0.3,10,4,4,0,0.6,55,18,4.1,0.8,0.0,Gaming,3,7.4,9.9
Steven Tanner,16,Other,12th,8.1,6.8,59,1,0.0,7,3,1,0,0.6,129,7,0.7,2.5,1.5,Other,1,5.1,10.0
Michael Farmer,17,Male,12th,5.2,6.6,56,10,0.9,6,8,4,0,0.5,98,16,2.4,1.4,1.0,Other,5,8.1,10.0
Keith Ward,18,Other,7th,1.7,6.2,52,8,1.3,2,2,7,0,1.3,76,17,1.1,1.9,0.7,Social Media,7,6.5,6.5
Aaron Parker,15,Male,8th,6.8,7.4,100,9,1.1,6,7,7,0,1.9,123,11,4.2,1.6,0.7,Social Media,5,6.8,10.0
Wesley Miller,18,Female,9th,6.4,10.0,89,0,1.2,9,9,8,0,0.5,128,9,4.1,3.2,1.4,Education,2,4.6,10.0
Tiffany Santiago,17,Male,9th,7.2,7.4,63,7,0.1,2,3,8,0,0.7,112,11,3.8,0.5,0.5,Social Media,4,2.3,10.0
Lindsey Sloan,18,Female,10th,3.3,5.7,93,5,1.7,9,6,7,1,0.1,72,17,3.6,1.2,0.3,Other,10,6.6,10.0
Kristin Martin,16,Male,8th,4.7,8.5,98,3,0.2,4,5,8,0,0.1,20,16,2.8,1.3,0.3,Social Media,8,6.2,8.2
Valerie Blevins,18,Female,9th,2.8,7.0,93,5,0.8,4,5,2,0,1.5,42,6,2.8,1.0,0.6,Social Media,10,8.2,5.1
Morgan Mills,16,Female,8th,6.2,8.7,53,1,0.1,7,6,10,1,0.5,24,12,1.6,2.5,1.0,Other,7,6.7,8.8
Christian Perkins,17,Male,9th,6.7,8.5,91,4,1.4,8,7,2,0,0.2,49,9,2.1,3.5,1.5,Browsing,8,5.7,10.0
John Evans,14,Other,8th,2.2,5.1,69,7,1.0,6,3,8,1,1.3,24,16,2.6,2.2,1.1,Other,9,7.6,8.1
Ashley Chang,13,Female,11th,4.1,6.3,57,3,2.0,5,3,7,0,0.4,78,13,1.7,2.2,0.3,Gaming,3,5.8,9.0
Julia Ross,13,Male,11th,5.3,5.9,85,9,0.6,6,1,2,1,0.9,98,14,2.3,2.6,0.9,Education,8,8.9,10.0
Ashley Foster,18,Female,8th,4.7,3.4,71,1,1.8,7,4,7,1,1.5,87,9,0.1,0.0,0.0,Education,7,6.7,6.6
Katherine Hensley,19,Other,10th,4.5,7.4,67,9,1.1,10,1,2,1,0.8,68,11,2.6,1.0,0.9,Gaming,4,7.4,8.0
Christopher Watts,13,Male,7th,5.6,5.8,85,4,0.6,1,2,8,1,1.4,44,7,2.1,0.0,1.5,Gaming,7,6.6,7.1
Benjamin Bradley,15,Other,7th,7.3,5.0,67,2,0.5,8,5,5,0,1.4,77,18,1.2,1.1,0.8,Gaming,4,8.0,10.0
Rebecca Edwards,18,Female,11th,4.6,9.4,55,2,0.8,2,4,5,1,1.1,113,7,1.6,1.7,1.6,Education,4,8.6,6.9
Sarah Harrison,15,Other,9th,2.0,5.9,74,5,0.9,2,9,6,0,1.1,47,12,2.0,1.3,1.4,Other,1,4.4,5.7
Kimberly Hooper,14,Male,9th,1.6,6.1,70,7,0.0,9,5,1,0,1.6,42,5,4.8,0.8,1.5,Social Media,3,1.8,6.0
Melissa Becker DDS,18,Other,9th,2.0,7.5,76,0,1.1,1,7,2,1,0.9,115,7,1.4,1.9,1.3,Gaming,10,5.6,5.2
John Griffin,16,Male,10th,3.0,4.7,51,10,3.0,1,8,1,1,0.3,42,18,1.7,3.3,0.0,Education,3,6.7,10.0
James Alvarez,15,Female,9th,6.9,3.9,73,9,2.2,1,6,4,0,0.8,58,16,3.3,2.8,1.8,Education,3,4.9,10.0
Brad Sanchez,16,Other,8th,5.5,5.4,63,8,0.0,5,10,3,1,2.0,72,14,1.4,0.0,0.8,Other,1,8.3,8.4
Cory Santiago,15,Female,11th,6.6,9.5,53,5,1.0,8,4,1,0,0.8,121,13,4.5,1.7,2.8,Gaming,6,6.4,10.0
Shelley Curtis,19,Other,12th,8.3,5.7,58,9,1.6,3,1,3,0,0.1,21,9,1.7,0.8,1.2,Other,10,6.5,10.0
Cheryl Thomas,18,Other,8th,3.6,3.1,56,0,2.4,5,9,4,1,0.9,80,16,3.2,0.3,1.5,Social Media,7,7.3,10.0
Meagan Banks,17,Male,9th,5.4,3.1,88,0,0.0,7,10,10,0,0.7,29,11,2.9,0.3,0.5,Social Media,3,1.7,9.8
Dr. Elizabeth Porter,19,Other,9th,2.1,7.3,71,7,0.5,4,1,4,1,1.7,54,9,2.5,1.5,1.6,Education,5,2.1,5.3
Monica Shelton,16,Male,7th,7.8,7.4,81,0,1.9,5,6,10,0,1.1,135,14,3.6,1.1,1.3,Browsing,6,4.5,10.0
Heather Wilson,14,Male,9th,4.3,3.9,64,2,2.9,10,10,6,1,0.6,119,9,1.1,1.4,1.8,Other,4,6.7,9.0
Angie White,18,Other,12th,7.4,7.4,80,0,1.1,1,2,3,0,1.9,57,20,1.9,0.9,1.6,Gaming,10,4.6,10.0
Grace Mullen,18,Female,7th,6.4,7.9,72,4,2.0,5,6,4,1,0.7,23,13,0.7,2.4,0.7,Other,3,7.4,8.6
Megan Colon,13,Other,9th,2.0,8.4,78,10,1.6,5,1,10,0,0.4,140,17,2.0,0.8,2.4,Gaming,1,5.1,6.8
Christine Cunningham,15,Male,8th,2.6,6.8,65,0,1.3,6,5,2,1,1.0,26,6,1.8,2.8,1.1,Other,6,9.5,5.5
Sonya Armstrong,13,Other,7th,4.4,5.0,68,7,3.7,2,4,8,0,1.8,70,18,2.4,1.1,0.7,Browsing,2,5.1,10.0
Heather Johnson,16,Other,8th,4.8,6.5,57,7,0.7,9,10,8,0,0.8,68,16,0.5,3.7,0.0,Education,3,7.9,10.0
Jennifer Chen,15,Other,10th,7.7,5.9,75,2,2.2,2,8,10,0,1.0,74,16,2.4,2.9,0.9,Browsing,2,4.2,10.0
Charles Williams,17,Other,12th,4.2,5.6,88,10,0.5,9,6,2,0,1.1,58,19,3.3,0.4,0.2,Gaming,5,7.1,10.0
Denise Peters,17,Other,12th,4.6,5.7,98,4,0.6,8,5,1,0,1.1,46,18,2.2,2.5,1.7,Browsing,3,7.4,10.0
Pamela Torres,19,Male,9th,2.9,6.5,94,5,0.0,8,7,5,0,1.3,126,15,3.3,1.1,0.0,Gaming,4,3.4,9.6
Sandra Hanson,14,Female,10th,6.8,5.5,55,1,0.6,9,10,10,0,1.1,129,10,3.2,2.6,0.7,Browsing,8,4.9,10.0
Donna Shaffer,18,Male,9th,4.7,5.9,61,10,0.1,10,4,2,0,2.0,95,12,3.3,2.4,0.6,Social Media,3,5.1,10.0
Erin Garcia,19,Female,10th,4.1,7.6,85,6,0.1,3,3,3,0,0.8,25,20,3.0,0.2,1.5,Other,3,7.7,8.0
Amy Smith,14,Female,8th,0.0,6.0,75,0,0.8,5,7,4,0,1.2,111,7,3.0,1.6,0.0,Education,1,3.6,5.2
Megan Knight,15,Female,7th,4.3,9.3,61,2,0.0,7,8,4,1,0.3,31,5,2.6,2.6,0.8,Other,5,6.4,6.5
Valerie Henderson,13,Male,9th,3.3,8.0,60,7,0.4,6,6,2,0,1.6,70,20,3.0,1.5,0.8,Education,9,4.9,9.2
Austin Nelson,14,Female,7th,8.0,5.8,79,7,1.1,1,1,4,1,0.7,130,17,1.8,2.4,1.4,Browsing,4,4.5,10.0
Michael Evans,17,Other,9th,5.0,5.1,90,3,1.0,6,8,9,1,0.7,68,18,2.6,2.4,1.3,Browsing,9,8.3,10.0
Diane Day,18,Other,11th,2.5,4.8,51,10,1.3,6,10,1,1,0.5,83,6,2.0,0.0,3.0,Gaming,5,4.5,5.0
Brian Mcdonald,14,Female,12th,4.8,4.0,81,0,1.6,9,5,4,1,1.4,124,18,2.8,2.2,1.4,Browsing,6,4.7,10.0
Eric Hunter,18,Other,11th,5.0,5.5,71,6,0.4,7,3,10,1,1.0,92,14,1.5,0.6,1.5,Browsing,7,9.0,9.0
Victoria Huff,16,Female,11th,7.1,3.0,56,6,0.0,1,4,1,1,1.4,116,18,2.2,2.3,2.1,Other,5,4.1,10.0
Ana Le,18,Female,7th,7.9,6.5,55,4,0.0,8,9,5,1,2.0,97,11,1.8,0.8,0.3,Gaming,9,2.4,10.0
Daniel Robinson,14,Male,12th,7.4,6.4,81,9,0.4,4,10,4,1,1.4,116,6,1.2,0.0,1.0,Social Media,5,3.9,8.9
Justin Collins,15,Female,11th,2.5,5.4,66,0,0.6,9,8,4,0,0.6,85,14,1.9,1.2,1.7,Social Media,9,5.0,7.4
Paula Jones,19,Male,9th,6.4,7.8,62,3,0.0,6,3,7,1,0.6,41,11,2.6,3.6,2.2,Other,5,9.4,10.0
Kathryn Matthews,16,Other,10th,7.0,7.9,89,1,0.7,3,10,8,0,1.0,56,11,2.4,0.8,0.0,Other,9,3.2,9.6
Michelle Jones,13,Female,9th,5.1,4.3,63,9,1.3,4,8,6,0,0.0,49,6,3.0,0.8,2.2,Browsing,1,7.9,8.9
Erica Brown,14,Male,9th,6.9,7.1,98,8,0.2,8,4,8,0,1.2,54,7,1.3,0.8,0.3,Gaming,10,6.9,7.9
Michelle Perez,13,Female,10th,4.0,6.2,59,7,0.2,10,10,1,0,0.7,114,13,2.7,2.5,0.8,Social Media,5,6.9,10.0
Steven Davis,16,Male,8th,6.6,9.4,82,3,1.1,7,4,7,0,0.3,83,20,0.7,1.8,0.5,Gaming,5,3.5,10.0
Lynn Smith,18,Male,10th,5.7,6.2,77,3,1.6,4,1,8,0,2.0,115,12,2.3,1.0,1.9,Education,3,6.2,10.0
Maria Fuller DDS,13,Other,8th,2.9,5.8,67,9,0.0,7,3,1,0,1.1,86,13,2.6,1.7,0.9,Education,8,7.0,8.6
Sheila Bennett,17,Female,9th,4.8,4.1,63,9,1.2,9,7,7,0,0.3,91,20,1.9,1.6,1.4,Gaming,4,8.0,10.0
Elizabeth Harding,16,Female,8th,7.3,6.3,77,6,0.5,3,5,6,0,0.7,138,6,2.8,1.7,2.4,Browsing,4,8.6,10.0
Bradley Jones,13,Female,8th,4.9,5.6,98,8,0.4,4,2,3,1,0.5,121,10,4.1,0.7,1.3,Other,1,6.3,10.0
Juan Carpenter,19,Male,12th,6.7,5.9,79,7,0.0,2,9,7,1,0.2,130,17,2.2,2.1,0.2,Browsing,5,3.1,10.0
Michael Garcia,19,Other,12th,2.2,8.2,60,5,2.0,10,7,3,1,0.5,70,10,3.4,1.1,2.3,Gaming,2,9.7,6.0
Michael Parker,13,Male,8th,3.3,7.6,55,0,0.0,4,2,6,0,1.2,47,15,2.8,0.0,0.6,Browsing,1,7.2,6.2
Alan Torres,14,Other,9th,6.8,4.8,76,6,2.2,2,8,5,1,0.9,142,12,4.0,0.0,1.6,Other,5,7.9,10.0
Mary Roman,18,Other,11th,5.2,6.6,93,4,0.0,8,10,4,1,1.1,36,18,2.5,1.9,1.6,Education,10,7.5,10.0
Joshua Moore,19,Male,11th,6.0,3.1,78,1,1.0,4,4,2,0,0.6,130,6,2.7,1.8,1.6,Browsing,3,10.0,10.0
Douglas Mason,15,Other,12th,5.9,5.0,74,1,1.0,9,8,3,1,0.8,94,6,4.6,2.7,1.2,Gaming,2,4.0,10.0
Donna Morgan,19,Female,10th,3.7,4.6,72,0,0.6,4,10,7,1,1.2,146,18,2.0,2.2,1.8,Gaming,10,4.6,10.0
Russell Klein,17,Male,10th,8.4,7.7,57,3,1.4,6,8,5,0,0.5,49,14,1.3,1.5,1.4,Education,10,4.6,10.0
Alexander Bailey,15,Other,10th,0.8,7.4,70,7,1.7,9,1,1,1,0.8,67,10,2.9,0.9,1.2,Browsing,6,8.9,4.2
Jordan Shelton,18,Other,7th,7.2,3.0,84,4,1.8,3,8,5,1,0.9,83,8,2.9,2.6,1.6,Education,4,6.4,10.0
Robert Decker,13,Male,11th,4.6,5.3,91,4,0.9,10,3,6,1,0.8,129,6,1.6,2.2,0.8,Social Media,6,3.4,9.5
Travis Ponce,19,Male,11th,2.4,6.8,63,8,0.0,9,8,7,0,0.8,50,16,2.0,1.3,0.9,Other,1,8.0,6.5
Jennifer Young,16,Female,8th,4.3,6.6,94,9,1.0,2,10,4,0,0.8,47,17,1.6,1.4,0.0,Social Media,5,0.7,8.3
David Logan,14,Other,8th,6.8,6.1,92,8,2.0,9,1,5,1,1.0,46,6,2.1,1.7,1.7,Other,5,2.9,9.7
Jonathan Roberts Jr.,13,Other,11th,6.3,5.4,100,8,2.0,5,5,3,0,1.8,30,12,1.6,1.4,1.8,Browsing,5,5.5,9.6
William Wolfe,13,Female,10th,5.3,9.7,52,5,1.0,3,3,8,1,1.7,145,9,2.3,1.3,0.0,Education,6,7.3,8.8
Sharon Smith,17,Other,9th,4.4,5.7,99,2,1.2,1,4,10,1,0.9,58,9,2.5,1.0,0.6,Other,2,4.3,8.0
Brittany Kirk,16,Other,10th,8.1,6.7,50,0,2.0,4,7,7,1,0.5,63,7,2.1,0.0,1.8,Other,7,7.2,9.5
Michael Harris,13,Other,9th,3.6,6.0,65,9,0.4,5,2,6,1,1.6,83,11,1.1,2.2,0.8,Education,4,4.5,7.8
Michael Rodriguez,17,Other,7th,5.0,5.5,66,5,0.8,2,10,10,1,1.4,129,17,2.7,1.6,1.2,Social Media,1,7.1,10.0
Anthony Andrews,17,Other,8th,4.1,7.2,57,10,0.9,3,10,1,0,1.4,145,10,1.5,1.7,0.7,Gaming,7,6.7,8.6
Dorothy Patel,19,Other,10th,4.3,9.2,53,8,0.5,10,3,10,1,1.6,47,14,2.7,1.2,0.0,Social Media,2,5.6,7.3
Diana Hess,18,Male,10th,4.2,7.6,58,1,1.2,4,2,7,1,1.1,59,15,2.7,1.1,0.8,Education,9,4.3,8.4
